"","StudyID","ES_ID","Title","Authors","Year","DOI","Biodiv_ES","Biodiv_ESMetric","Biodiv_measure","Biodiv_sample_size","Biodiv_CI_lower","Biodiv_CI_upper","Taxonomic_group","Management_raw","Management_grouped","Management_raw2","Biodiv_SE","Biodiv_SD","BiodivConfidenceInterval","Scenario_raw","Control.TreatPairedYN","LandSharingSparing","BiodivYieldPairedYN","Control_Reference_state","Comparison","CropType","SustainableTreatYN","Strategy","Biodiv_SE_calc","Biodiv_CI_upper_calc","Biodiv_CI_lower_calc","Biodiv_CI_up","Biodiv_CI_low","Biodiv_SE2","Biodiv_EffSize","Biodiv_SE3","Biodiv_ES_homog","Biodiv_CI_up_homog","Biodiv_CI_low_homog"
"11","FEB23_02","ES011","Does plant diversity benefit agroecosystems? A synthetic review","Letourneauetal2011",2011,"http://dx.doi.org/10.1890/09-2026.1",1.85,"HedgesD","Ab",4,-0.21,3.91,"invertebrates","Use plants that support natural enemies and suppress herbivores","diversification","diversification",NA,2.10204081632653,"95% confidence interval","Less vs More plant diversity","Y","Sh","Y","Monocultures","MonoculturesvsPolycultures","all crops","Y","Diversification",NA,NA,NA,3.91,-0.21,1.05102040816327,1.85,1.05102040816327,1.85,3.91,-0.21
"12","FEB23_02","ES012","Does plant diversity benefit agroecosystems? A synthetic review","Letourneauetal2011",2011,"http://dx.doi.org/10.1890/09-2026.1",1.3,"HedgesD","Ab",30,0.93,1.73,"invertebrates","Use plants that support natural enemies and suppress herbivores","diversification","diversification",NA,1.11780113776564,"95% confidence interval","Less vs More plant diversity","Y","Sh","Y","Monocultures","MonoculturesvsPolycultures","all crops","Y","Diversification",NA,NA,NA,1.73,0.93,0.204081632653061,1.3,0.204081632653061,1.3,1.73,0.93
"13","FEB23_02","ES013","Does plant diversity benefit agroecosystems? A synthetic review","Letourneauetal2011",2011,"http://dx.doi.org/10.1890/09-2026.1",0.43,"HedgesD","Ab",17,0.04,0.82,"invertebrates","Use plants that support natural enemies and suppress herbivores","diversification","diversification",NA,0.820413874485147,"95% confidence interval","Less vs More plant diversity","Y","Sh","Y","Monocultures","MonoculturesvsPolycultures","all crops","Y","Diversification",NA,NA,NA,0.82,0.04,0.198979591836735,0.43,0.198979591836735,0.43,0.82,0.04
"14","FEB23_02","ES014","Does plant diversity benefit agroecosystems? A synthetic review","Letourneauetal2011",2011,"http://dx.doi.org/10.1890/09-2026.1",1.23,"HedgesD","Ab",19,0.21,2.84,"invertebrates","Use plants that support natural enemies and suppress herbivores","diversification","diversification",NA,2.92446536263061,"95% confidence interval","Less vs More plant diversity","Y","Sh","Y","Monocultures","MonoculturesvsPolycultures","all crops","Y","Diversification",NA,NA,NA,2.84,0.21,0.670918367346939,1.23,0.670918367346939,1.23,2.84,0.21
"15","FEB23_02","ES015","Does plant diversity benefit agroecosystems? A synthetic review","Letourneauetal2011",2011,"http://dx.doi.org/10.1890/09-2026.1",0.95,"HedgesD","Ab",12,0.52,1.42,"invertebrates","Use plants that support natural enemies and suppress herbivores","diversification","diversification",NA,0.795329452455097,"95% confidence interval","Less vs More plant diversity","Y","Sh","Y","Monocultures","MonoculturesvsPolycultures","all crops","Y","Diversification",NA,NA,NA,1.42,0.52,0.229591836734694,0.95,0.229591836734694,0.95,1.42,0.52
"16","FEB23_06","ES016","Contrasting effects of water and nutrient additions on grassland communities: A global meta-analysis","DeMalachetal2017",2017,"http://dx.doi.org/10.1111/geb.12603",1.170682731,"LRR","SR",41,NA,NA,"all","Addition of water, nitrogen and both","no nutrient addition","nutrient addition(water)",0.03,0.165029192383398,"95% confidence interval","TreatNoTreat","Y","Sh","Y","NoNutrientAddition","NoYesNutrientAddition","grassland","N","De-Intensification",NA,1.22119826140007,1.12016720059993,1.22119826140007,1.12016720059993,0.0257732297959538,1.170682731,0.0257732297959538,-1.170682731,-1.22119826140007,-1.12016720059993
"17","FEB23_06","ES017","Contrasting effects of water and nutrient additions on grassland communities: A global meta-analysis","DeMalachetal2017",2017,"http://dx.doi.org/10.1111/geb.12603",1.206827309,"LRR","SR",19,NA,NA,"all","Addition of water, nitrogen and both","no nutrient addition","nutrient addition(water)",0.04,0.154257306590153,"95% confidence interval","TreatNoTreat","Y","Sh","Y","NoNutrientAddition","NoYesNutrientAddition","grassland","N","De-Intensification",NA,1.2761898532647,1.1374647647353,1.2761898532647,1.1374647647353,0.0353890531962763,1.206827309,0.0353890531962763,-1.206827309,-1.2761898532647,-1.1374647647353
"18","FEB23_06","ES018","Contrasting effects of water and nutrient additions on grassland communities: A global meta-analysis","DeMalachetal2017",2017,"http://dx.doi.org/10.1111/geb.12603",0.897590361,"LRR","SR",17,NA,NA,"all","Addition of water, nitrogen and both","no nutrient addition","nutrient addition(nitrogen)",0.05,0.183634255288996,"95% confidence interval","TreatNoTreat","Y","Sh","Y","NoNutrientAddition","NoYesNutrientAddition","grassland","N","De-Intensification",NA,0.984884544813812,0.810296177186188,0.984884544813812,0.810296177186188,0.0445378488845982,0.897590361,0.0445378488845982,-0.897590361,-0.984884544813812,-0.810296177186188
"19","FEB23_06","ES019","Contrasting effects of water and nutrient additions on grassland communities: A global meta-analysis","DeMalachetal2017",2017,"http://dx.doi.org/10.1111/geb.12603",0.949799197,"LRR","SR",19,NA,NA,"all","Addition of water, nitrogen and both","no nutrient addition","nutrient addition(water+nitrogen)",0.07,0.269950286532768,"95% confidence interval","TreatNoTreat","Y","Sh","Y","NoNutrientAddition","NoYesNutrientAddition","grassland","N","De-Intensification",NA,1.07118364946323,0.828414744536772,1.07118364946323,0.828414744536772,0.0619308430934835,0.949799197,0.0619308430934835,-0.949799197,-1.07118364946323,-0.828414744536772
"20","FEB23_07","ES020","Mowing and warming effects on grassland species richness and harvested biomass: meta-analyses","Pisedduetal2021",2021,"http://dx.doi.org/10.1007/s13593-021-00722-y",0.28,"LRR","SR",46,0.19,0.37,"all","Mowing, warming","lower intensity","vegetation removal",NA,0.311433519633303,"95% confidence interval","No warming, abandonment (no mowing)","Y","Sh","Y","Abandoned","AbandonedvsMowing","grassland","N","De-Intensification",NA,NA,NA,0.37,0.19,0.0459183673469388,0.28,0.0459183673469388,-0.28,-0.37,-0.19
"21","FEB23_10","ES021","Conventional land-use intensification reduces species richness and increases production: A global meta-analysis","Beckmannetal2019",2019,"http://dx.doi.org/10.1111/gcb.14606",-8.756476684,"Percentage change","SR",292,NA,NA,"all","Compare different intensity levels","lower intensity","(de)intensification",2.7,0.38407964933812,"95% confidence interval","Compare different intensity levels","Y","Sh","Y","LessIntensiveManagement","YesNoConventionalIntensification","all crops","N","De-Intensification",NA,-4.30118843683406,-13.2117649311659,-0.0545494475580474,-0.128726899248766,2.27310624855405,-0.0916381734034066,0.0224765613866105,0.0916381734034066,0.0545494475580474,0.128726899248766
"22","FEB23_10","ES022","Conventional land-use intensification reduces species richness and increases production: A global meta-analysis","Beckmannetal2019",2019,"http://dx.doi.org/10.1111/gcb.14606",-1.295336788,"Percentage change","SR",16,NA,NA,"all","Compare different intensity levels","lower intensity","(de)intensification",3.49,0.122950988411422,"95% confidence interval","Compare different intensity levels","Y","Sh","Y","LessIntensiveManagement","YesNoConventionalIntensification","all crops","N","De-Intensification",NA,4.82280895336708,-7.41348252936708,0.04084682414931,-0.0669228128343888,3.12150292926892,-0.0130379943425394,0.0307377471028556,0.0130379943425394,-0.04084682414931,0.0669228128343888
"23","FEB23_10","ES023","Conventional land-use intensification reduces species richness and increases production: A global meta-analysis","Beckmannetal2019",2019,"http://dx.doi.org/10.1111/gcb.14606",-8.134715026,"Percentage change","SR",70,NA,NA,"all","Compare different intensity levels","lower intensity","(de)intensification",3.01,0.211522107072802,"95% confidence interval","Compare different intensity levels","Y","Sh","Y","LessIntensiveManagement","YesNoConventionalIntensification","all crops","N","De-Intensification",NA,-3.11632699450766,-13.1531030574923,-0.0426963053475178,-0.126997646303959,2.56040205688385,-0.0848469758257386,0.0252817273880106,0.0848469758257386,0.0426963053475178,0.126997646303959
"24","FEB23_10","ES024","Conventional land-use intensification reduces species richness and increases production: A global meta-analysis","Beckmannetal2019",2019,"http://dx.doi.org/10.1111/gcb.14606",-12.48704663,"Percentage change","SR",31,NA,NA,"all","Compare different intensity levels","lower intensity","(de)intensification",6.66,0.312187253613593,"95% confidence interval","Compare different intensity levels","Y","Sh","Y","LessIntensiveManagement","YesNoConventionalIntensification","all crops","N","De-Intensification",NA,-1.18328912528425,-23.7908041347158,-0.0382171223305676,-0.228549607803145,5.76722321669171,-0.133383365066856,0.0560704859741788,0.133383365066856,0.0382171223305676,0.228549607803145
"25","FEB23_10","ES025","Conventional land-use intensification reduces species richness and increases production: A global meta-analysis","Beckmannetal2019",2019,"http://dx.doi.org/10.1111/gcb.14606",-23.05699482,"Percentage change","SR",29,NA,NA,"all","Compare different intensity levels","lower intensity","(de)intensification",2.54,0.117427743644716,"95% confidence interval","Compare different intensity levels","Y","Sh","Y","LessIntensiveManagement","YesNoConventionalIntensification","all crops","N","De-Intensification",NA,-18.7361222469645,-27.3778673930355,-0.225010736005972,-0.299199725353308,2.20452682297728,-0.26210523067964,0.0218057845674737,0.26210523067964,0.225010736005972,0.299199725353308
"26","FEB23_10","ES026","Conventional land-use intensification reduces species richness and increases production: A global meta-analysis","Beckmannetal2019",2019,"http://dx.doi.org/10.1111/gcb.14606",-6.580310881,"Percentage change","SR",81,NA,NA,"all","Compare different intensity levels","lower intensity","(de)intensification",3.01,0.2271158862957,"95% confidence interval","Compare different intensity levels","Y","Sh","Y","LessIntensiveManagement","YesNoConventionalIntensification","all crops","N","De-Intensification",NA,-1.5712958994451,-11.5893258625549,-0.0260737110782386,-0.11006240631665,2.55561988854842,-0.0680680586974442,0.0252350984773,0.0680680586974442,0.0260737110782386,0.11006240631665
"27","FEB23_10","ES027","Conventional land-use intensification reduces species richness and increases production: A global meta-analysis","Beckmannetal2019",2019,"http://dx.doi.org/10.1111/gcb.14606",-6.580310881,"Percentage change","SR",65,NA,NA,"all","Compare different intensity levels","lower intensity","(de)intensification",3.01,0.204042018489572,"95% confidence interval","Compare different intensity levels","Y","Sh","Y","LessIntensiveManagement","YesNoConventionalIntensification","all crops","N","De-Intensification",NA,-1.55658167567749,-11.6040400863225,-0.0258281803478379,-0.11030793704705,2.56312714557271,-0.0680680586974442,0.0253082976084004,0.0680680586974442,0.0258281803478379,0.11030793704705
"28","FEB23_10","ES028","Conventional land-use intensification reduces species richness and increases production: A global meta-analysis","Beckmannetal2019",2019,"http://dx.doi.org/10.1111/gcb.14606",-1.256281407,"Percentage change","SR",147,NA,NA,"all","Compare different intensity levels","lower intensity","(de)intensification",3.54,0.357178124592005,"95% confidence interval","Compare different intensity levels","Y","Sh","Y","LessIntensiveManagement","YesNoConventionalIntensification","all crops","N","De-Intensification",NA,4.60368359395294,-7.11624640795294,0.0361236976587499,-0.0614084844883905,2.98977806171068,-0.0126423934148203,0.0294595551974057,0.0126423934148203,-0.0361236976587499,0.0614084844883905
"29","FEB23_10","ES029","Conventional land-use intensification reduces species richness and increases production: A global meta-analysis","Beckmannetal2019",2019,"http://dx.doi.org/10.1111/gcb.14606",0.552763819,"Percentage change","SR",92,NA,NA,"plants","Compare different intensity levels","lower intensity","(de)intensification",5.08,0.404467642914545,"95% confidence interval","Compare different intensity levels","Y","Sh","Y","LessIntensiveManagement","YesNoConventionalIntensification","all crops","N","De-Intensification",NA,8.99456128671341,-7.88903364871341,0.0755870909727838,-0.0645622572442921,4.30703952434358,0.00551241686424582,0.0421686667836862,-0.00551241686424582,-0.0755870909727838,0.0645622572442921
"30","FEB23_10","ES030","Conventional land-use intensification reduces species richness and increases production: A global meta-analysis","Beckmannetal2019",2019,"http://dx.doi.org/10.1111/gcb.14606",-7.286432161,"Percentage change","SR",26,NA,NA,"invertebrates","Compare different intensity levels","lower intensity","(de)intensification",7.85,0.337423355835382,"95% confidence interval","Compare different intensity levels","Y","Sh","Y","LessIntensiveManagement","YesNoConventionalIntensification","all crops","N","De-Intensification",NA,6.12247281482741,-20.6953371368274,0.0373794263958669,-0.188690148887916,6.84127804889153,-0.0756553612460243,0.0661741644517914,0.0756553612460243,-0.0373794263958669,0.188690148887916
"31","FEB23_10","ES031","Conventional land-use intensification reduces species richness and increases production: A global meta-analysis","Beckmannetal2019",2019,"http://dx.doi.org/10.1111/gcb.14606",-0.351758794,"Percentage change","SR",29,NA,NA,"vertebrates","Compare different intensity levels","lower intensity","(de)intensification",7.23,0.327745095468707,"95% confidence interval","Compare different intensity levels","Y","Sh","Y","LessIntensiveManagement","YesNoConventionalIntensification","all crops","N","De-Intensification",NA,11.9474178607427,-12.6509354487427,0.100008292069315,-0.107055870467404,6.27509012997076,-0.00352378919904469,0.0608607363389318,0.00352378919904469,-0.100008292069315,0.107055870467404
"32","FEB23_10","ES032","Conventional land-use intensification reduces species richness and increases production: A global meta-analysis","Beckmannetal2019",2019,"http://dx.doi.org/10.1111/gcb.14606",-20.85427136,"Percentage change","SR",59,NA,NA,"plants","Compare different intensity levels","lower intensity","(de)intensification",4.15,0.267155247175151,"95% confidence interval","Compare different intensity levels","Y","Sh","Y","LessIntensiveManagement","YesNoConventionalIntensification","all crops","N","De-Intensification",NA,-13.9173273958123,-27.7912153241877,-0.175741673754337,-0.292017059244542,3.53925712458554,-0.23387936649944,0.0347806506925458,0.23387936649944,0.175741673754337,0.292017059244542
"33","FEB23_10","ES033","Conventional land-use intensification reduces species richness and increases production: A global meta-analysis","Beckmannetal2019",2019,"http://dx.doi.org/10.1111/gcb.14606",-37.73869347,"Percentage change","SR",26,NA,NA,"plants","Compare different intensity levels","lower intensity","(de)intensification",4.77,0.207681718901941,"95% confidence interval","Compare different intensity levels","Y","Sh","Y","LessIntensiveManagement","YesNoConventionalIntensification","all crops","N","De-Intensification",NA,-29.5908620388284,-45.8865249011716,-0.404257913790301,-0.543402158474043,4.15705685263855,-0.473830036132172,0.0407297360499033,0.473830036132172,0.404257913790301,0.543402158474043
"34","FEB23_10","ES034","Conventional land-use intensification reduces species richness and increases production: A global meta-analysis","Beckmannetal2019",2019,"http://dx.doi.org/10.1111/gcb.14606",-0.653266332,"Percentage change","SR",19,NA,NA,"invertebrates","Compare different intensity levels","lower intensity","(de)intensification",8.61,0.319999976225817,"95% confidence interval","Compare different intensity levels","Y","Sh","Y","LessIntensiveManagement","YesNoConventionalIntensification","all crops","N","De-Intensification",NA,14.277021320977,-15.583553984977,0.120748767955685,-0.133856957058407,7.61749370049847,-0.00655409455136074,0.0734130293844082,0.00655409455136074,-0.120748767955685,0.133856957058407
"35","FEB23_10","ES035","Conventional land-use intensification reduces species richness and increases production: A global meta-analysis","Beckmannetal2019",2019,"http://dx.doi.org/10.1111/gcb.14606",-10.90452261,"Percentage change","SR",14,NA,NA,"vertebrates","Compare different intensity levels","lower intensity","(de)intensification",9.23,0.299710571408444,"95% confidence interval","Compare different intensity levels","Y","Sh","Y","LessIntensiveManagement","YesNoConventionalIntensification","all crops","N","De-Intensification",NA,5.44119263495883,-27.2502378549588,0.0263919589264061,-0.257315182146257,8.33965063518308,-0.115461611609925,0.0801010195289032,0.115461611609925,-0.0263919589264061,0.257315182146257
"36","FEB23_10","ES036","Conventional land-use intensification reduces species richness and increases production: A global meta-analysis","Beckmannetal2019",2019,"http://dx.doi.org/10.1111/gcb.14606",-12.11055276,"Percentage change","SR",86,NA,NA,"plants","Compare different intensity levels","lower intensity","(de)intensification",4.46,0.344448438255477,"95% confidence interval","Compare different intensity levels","Y","Sh","Y","LessIntensiveManagement","YesNoConventionalIntensification","all crops","N","De-Intensification",NA,-4.69366865132951,-19.5274368686705,-0.0673227144117874,-0.190858170901178,3.78412454524005,-0.129090442656483,0.0371428303226814,0.129090442656483,0.0673227144117874,0.190858170901178
"37","FEB23_10","ES037","Conventional land-use intensification reduces species richness and increases production: A global meta-analysis","Beckmannetal2019",2019,"http://dx.doi.org/10.1111/gcb.14606",-11.80904523,"Percentage change","SR",63,NA,NA,"plants","Compare different intensity levels","lower intensity","(de)intensification",5.54,0.36604688725863,"95% confidence interval","Compare different intensity levels","Y","Sh","Y","LessIntensiveManagement","YesNoConventionalIntensification","all crops","N","De-Intensification",NA,-2.55833016968346,-21.0597602903165,-0.0486584665914985,-0.202673097133395,4.71975258179415,-0.125665781862447,0.0461175729464587,0.125665781862447,0.0486584665914985,0.202673097133395
"38","FEB23_10","ES038","Conventional land-use intensification reduces species richness and increases production: A global meta-analysis","Beckmannetal2019",2019,"http://dx.doi.org/10.1111/gcb.14606",-15.72864322,"Percentage change","SR",9,NA,NA,"invertebrates","Compare different intensity levels","lower intensity","(de)intensification",10.61,0.28773618345677,"95% confidence interval","Compare different intensity levels","Y","Sh","Y","LessIntensiveManagement","YesNoConventionalIntensification","all crops","N","De-Intensification",NA,4.00116145820281,-35.4584478982028,0.00722492914938128,-0.349481241033063,10.0662268766341,-0.171128155941841,0.0959120611522566,0.171128155941841,-0.00722492914938128,0.349481241033063
"39","FEB23_10","ES039","Conventional land-use intensification reduces species richness and increases production: A global meta-analysis","Beckmannetal2019",2019,"http://dx.doi.org/10.1111/gcb.14606",-13.61809045,"Percentage change","SR",14,NA,NA,"vertebrates","Compare different intensity levels","lower intensity","(de)intensification",17.38,0.545760139615913,"95% confidence interval","Compare different intensity levels","Y","Sh","Y","LessIntensiveManagement","YesNoConventionalIntensification","all crops","N","De-Intensification",NA,17.1607319722518,-44.3969128722518,0.111917376205438,-0.404701200824459,15.7034808276795,-0.146391912309511,0.145860532700047,0.146391912309511,-0.111917376205438,0.404701200824459
"40","FEB23_132","ES040","Global negative effects of nutrient enrichment on arbuscular mycorrhizal fungi, plant diversity and ecosystem multifunctionality","Maetal2020",2020,"http://dx.doi.org/10.1111/nph.17077",-0.089189189,"LRR","Sh",127,NA,NA,"fungi","No nutrient enrichment","no nutrient addition","(de)intensification",0.02,0.190549575656848,"95% confidence interval","No nutrient enrichment","Y","Sh","Y","NoNutrientAddition","NoYesNutrientAddition","all crops","N","De-Intensification",NA,-0.0560484493601859,-0.122329928639814,-0.0560484493601859,-0.122329928639814,0.0169085406325582,-0.089189189,0.0169085406325582,0.089189189,0.0560484493601859,0.122329928639814
"41","FEB23_132","ES041","Global negative effects of nutrient enrichment on arbuscular mycorrhizal fungi, plant diversity and ecosystem multifunctionality","Maetal2020",2020,"http://dx.doi.org/10.1111/nph.17077",-0.045945946,"LRR","Sh",67,NA,NA,"fungi","No nutrient enrichment","no nutrient addition","(de)intensification",0.02,0.139340639570064,"95% confidence interval","No nutrient enrichment","Y","Sh","Y","NoNutrientAddition","NoYesNutrientAddition","all crops","N","De-Intensification",NA,-0.0125805357154473,-0.0793113562845527,-0.0125805357154473,-0.0793113562845527,0.0170231685125269,-0.045945946,0.0170231685125269,0.045945946,0.0125805357154473,0.0793113562845527
"42","FEB23_132","ES042","Global negative effects of nutrient enrichment on arbuscular mycorrhizal fungi, plant diversity and ecosystem multifunctionality","Maetal2020",2020,"http://dx.doi.org/10.1111/nph.17077",-0.175675676,"LRR","Sh",19,NA,NA,"fungi","No nutrient enrichment","no nutrient addition","(de)intensification",0.06,0.23138595988523,"95% confidence interval","No nutrient enrichment","Y","Sh","Y","NoNutrientAddition","NoYesNutrientAddition","all crops","N","De-Intensification",NA,-0.0716318596029477,-0.279719492397052,-0.0716318596029477,-0.279719492397052,0.0530835797944144,-0.175675676,0.0530835797944144,0.175675676,0.0716318596029477,0.279719492397052
"43","FEB23_132","ES043","Global negative effects of nutrient enrichment on arbuscular mycorrhizal fungi, plant diversity and ecosystem multifunctionality","Maetal2020",2020,"http://dx.doi.org/10.1111/nph.17077",-0.137837838,"LRR","Sh",41,NA,NA,"fungi","No nutrient enrichment","no nutrient addition","(de)intensification",0.04,0.220038923177865,"95% confidence interval","No nutrient enrichment","Y","Sh","Y","NoNutrientAddition","NoYesNutrientAddition","all crops","N","De-Intensification",NA,-0.0704837974665739,-0.205191878533426,-0.0704837974665739,-0.205191878533426,0.0343643063946051,-0.137837838,0.0343643063946051,0.137837838,0.0704837974665739,0.205191878533426
"44","FEB23_132","ES044","Global negative effects of nutrient enrichment on arbuscular mycorrhizal fungi, plant diversity and ecosystem multifunctionality","Maetal2020",2020,"http://dx.doi.org/10.1111/nph.17077",-0.132432432,"LRR","Sh",15,NA,NA,"fungi","No nutrient enrichment","no nutrient addition","(de)intensification",0.07,0.24362588654866,"95% confidence interval","No nutrient enrichment","Y","Sh","Y","NoNutrientAddition","NoYesNutrientAddition","all crops","N","De-Intensification",NA,-0.00914072249575756,-0.255724141504242,-0.00914072249575756,-0.255724141504242,0.0629039334205318,-0.132432432,0.0629039334205318,0.132432432,0.00914072249575756,0.255724141504242
"45","FEB23_132","ES045","Global negative effects of nutrient enrichment on arbuscular mycorrhizal fungi, plant diversity and ecosystem multifunctionality","Maetal2020",2020,"http://dx.doi.org/10.1111/nph.17077",-0.1,"LRR","Sh",23,NA,NA,"fungi","No nutrient enrichment","no nutrient addition","(de)intensification",0.05,0.21007997756969,"95% confidence interval","No nutrient enrichment","Y","Sh","Y","NoNutrientAddition","NoYesNutrientAddition","all crops","N","De-Intensification",NA,-0.0141427812809879,-0.185857218719012,-0.0141427812809879,-0.185857218719012,0.0438047034280674,-0.1,0.0438047034280674,0.1,0.0141427812809879,0.185857218719012
